Route,Source,Destination,State From,State To,Distance,Vehicle,Type,Owner,Load Id,Payment,Posted On,Available On,Price,Price Per Mile,Count,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV - OR,"Las Vegas, NV 89122","Salem, OR 97301",NV,OR,938,2018 Toyota Highlander,SUV,AUTO FREIGHT CARRIERS LLC,30533127-AF Isaac: toyota,COD,7m ago,ASAP, 600 , 0.64 ,1," 4,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL - TX,"Bradenton, FL 34203","Dallas, TX 75237",FL,TX,1189,2020 Chevrolet Traverse,SUV,Auto Dealers Transport,8242,,8m ago,5/Jan/23, 600 , 0.50 ,1," 4,362 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - OH,"Redford Charter Twp, MI 48239","Obetz, OH 43207",MI,OH,224,2016 KIA FORTE,Sedan,JMN Logistics,8695978,Other,9m ago,5/Jan/23, 550 , 2.46 ,1," 2,844 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - OH,"Grand Blanc, MI 48439","Obetz, OH 43207",MI,OH,251,2020 CHEVROLET EQUINOX,SUV,JMN Logistics,8693478,Other,9m ago,ASAP, 550 , 2.19 ,1," 3,665 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK - TX,"Ardmore, OK 73401","Dallas, TX 75228",OK,TX,113,2021 Toyota Tacoma,Pickup (4 doors),Auto Dealers Transport,8250,,10m ago,5/Jan/23, 250 , 2.21 ,1," 4,550 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN - IN,"Auburn, IN 46706","Elkhart, IN 46514",IN,IN,84,2015 Volkswagen Beetle,Sedan,BacklotCars Inc,K963432,ACH,10m ago,ASAP, 185 , 2.20 ,1," 3,435 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - TX,"Lombard, IL 60148","Dallas, TX 75214",IL,TX,913,2013 Hyundai Sonata,Sedan,AUTO FREIGHT CARRIERS LLC,30532507-AF Isaac: hammed,COD,10m ago,ASAP, 650 , 0.71 ,1," 3,452 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ - CA,"Phoenix, AZ 85013","San Diego, CA 92104",AZ,CA,356,2011 Toyota Sequoia,SUV,RAMO ENTERPRISES,935392,CKOP,11m ago,5/Jan/23, 250 , 0.70 ,1," 6,045 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - TX,"Lubbock, TX 79423","San Antonio, TX 78238",TX,TX,385,2023 Toyota Camry,Sedan,Auto Dealers Transport,8240,,12m ago,5/Jan/23, 350 , 0.91 ,1," 3,595 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ - NY,"Eatontown, NJ 07724","Amityville, NY 11701",NJ,NY,86,2013 Bmw 3-series,Sedan,BacklotCars Inc,B380547,ACH,13m ago,ASAP, 210 , 2.44 ,1," 4,001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ - GA,"Freehold, NJ 07728","Alpharetta, GA 30004",NJ,GA,861,2020 BMW 7 Series,Sedan,Auto Dealers Transport,8239,,13m ago,5/Jan/23, 625 , 0.73 ,1," 4,855 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - NV,"Tracy, CA 95377","Las Vegas, NV 89101",CA,NV,518,2016 Chevrolet Cruze Limited,Sedan,Maranatha Brokerage,227027,QuickPay,15m ago,ASAP, 575 , 1.11 ,1," 3,206 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO - CA,"Highlands Ranch, CO 80129","Temecula, CA 92591",CO,CA,1027,2014 MINI Countryman,SUV,Auto Dealers Transport,8237,,16m ago,5/Jan/23, 600 , 0.58 ,1," 2,833 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ - CO,"Phoenix, AZ 85043","Colorado Springs, CO 80905",AZ,CO,766,2019 Ford Fusion,Sedan,2020 Ford Fusion,F1rst In Transport,QuickPay,17m ago,6/Jan/23, 900 , 1.17 ,1," 4,085 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN - KY,"Jackson, TN 38301","Scottsville, KY 42164",TN,KY,210,1998 Pontiac Firebird,Sedan,BacklotCars Inc,F892101,ACH,17m ago,ASAP, 225 , 1.07 ,1," 3,613 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK - MS,"Oklahoma City, OK 73132","Ripley, MS 38663",OK,MS,564,2011 Ford F150,Pickup (4 doors),BacklotCars Inc,C068216,ACH,17m ago,ASAP, 542 , 0.96 ,1," 6,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - TN,"Waukesha, WI 53186","Mount Juliet, TN 37122",WI,TN,655,2021 Toyota RAV4,SUV,2020 Ford F-150,Sullivan Auto Transport,ACH,18m ago,ASAP, 800 , 1.22 ,1," 3,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ - IL,"Old Bridge, NJ 08857","Alsip, IL 60803",NJ,IL,789,2018 Honda Civic,Sedan,Auto Dealers Transport,8235,,19m ago,5/Jan/23, 500 , 0.63 ,1," 3,010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN - MO,"Chesterton, IN 46304","Strafford, MO 65757",IN,MO,520,2014 Ram 2500,Pickup (4 doors),BacklotCars Inc,W828768,ACH,20m ago,7/Jan/23, 490 , 0.94 ,1," 7,206 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - OK,"Saint Clair Shores, MI 48080","Oklahoma City, OK 73116",MI,OK,1040,2023 Cadillac Escalade,SUV,Zodiak Transportation and Logistics Solutions LLC,Z100065,ACH,20m ago,ASAP," 1,000 ", 0.96 ,1," 6,217 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI - FL,"Ann Arbor, MI 48103","Lakewood Ranch, FL 34202",MI,FL,1212,2021 Chrysler Pacifica Hybrid,Van,Zodiak Transportation and Logistics Solutions LLC,Z100058,ACH,21m ago,ASAP," 1,300 ", 1.07 ,1," 5,010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - TN,"Alsip, IL 60803","Mount Juliet, TN 37122",IL,TN,465,2020 Toyota RAV4,SUV,Sullivan Auto Transport,10587,ACH,22m ago,ASAP, 400 , 0.86 ,1," 3,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - AR,"Houston, TX 77065","North Little Rock, AR 72117",TX,AR,464,2019 Nissan Murano,SUV,Auto Dealers Transport,8234,,22m ago,5/Jan/23, 415 , 0.89 ,1," 4,137 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN - IN,"Auburn, IN 46706","Elkhart, IN 46514",IN,IN,84,2014 Chevrolet Cruze,Sedan,BacklotCars Inc,Z805475,ACH,22m ago,ASAP, 185 , 2.20 ,1," 3,471 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - TX,"San Antonio, TX 78233","Fort Worth, TX 76115",TX,TX,260,2018 Chevrolet Equinox,SUV,2018 Honda Accord,,10 Business Days,23m ago,ASAP, 555 , 2.13 ,1," 3,682 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - TN,"Newburgh, NY 12550","Mount Juliet, TN 37122",NY,TN,908,2021 Toyota RAV4,SUV,2020 Jeep Grand Cherokee,Sullivan Auto Transport,ACH,24m ago,ASAP," 1,200 ", 1.32 ,1," 3,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL - MI,"Wesley Chapel, FL 33544","Troy, MI 48083",FL,MI,1183,2016 Ford F-150,Pickup (4 doors),Auto Dealers Transport,8233,,24m ago,5/Jan/23, 700 , 0.59 ,1," 5,236 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - WI,"Madison, WI 53718","Seymour, WI 54165",WI,WI,118,2014 Kia Soul,Sedan,BacklotCars Inc,U079640,ACH,25m ago,ASAP, 170 , 1.44 ,1," 2,879 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - TN,"East Dundee, IL 60118","Mount Juliet, TN 37122",IL,TN,516,2021 Toyota RAV4,SUV,Sullivan Auto Transport,10585,ACH,25m ago,ASAP, 400 , 0.78 ,1," 3,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - IL,"Houston, TX 77061","Nashville, IL 62263",TX,IL,835,2020 CHEVROLET EXPRESS,Van,JMN Logistics,8697240,Other,27m ago,ASAP, 750 , 0.90 ,1," 6,330 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - CA,"Concord, CA 94518","Huntington Beach, CA 92647",CA,CA,404,2021 Electra Meccanica SOLO-Three Wheeled,Other,F1rst In Transport,2221,QuickPay,27m ago,ASAP, 400 , 0.99 ,1," 4,200 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - CA,"Arcata, CA 95521","Van Nuys, CA 91401",CA,CA,643,2015 Nissan LEAF,Sedan,Auto Dealers Transport,8238,,31m ago,ASAP, 600 , 0.93 ,1," 3,340 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN - IL,"Highland, IN 46322","Cahokia, IL 62206",IN,IL,297,2014 Ford Focus,Sedan,BacklotCars Inc,X115027,ACH,31m ago,ASAP, 275 , 0.93 ,1," 3,055 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN - MI,"South Bend, IN 46614","Grand Rapids, MI 49548",IN,MI,118,2004 Pontiac Vibe,Sedan,BacklotCars Inc,I135346,ACH,33m ago,ASAP, 130 , 1.10 ,1," 2,980 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA - IL,"Hatfield, PA 19440","Pontiac, IL 61764",PA,IL,817,2022 Jeep Grand Cherokee L,SUV,VERILY SOLUTIONS,VS890921,Other,33m ago,7/Jan/23, 500 , 0.61 ,1," 5,068 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - WI,"Dallas, TX 75236","Rice Lake, WI 54868",TX,WI,1091,2018 Chevrolet Colorado,Pickup (4 doors),TurnTime Transport,39128,QuickPay,34m ago,ASAP," 1,000 ", 0.92 ,1," 4,758 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - CT,"Yaphank, NY 11980","East Windsor, CT 06088",NY,CT,163,2022 Kia K5,Sedan,BacklotCars Inc,S113843,ACH,35m ago,ASAP, 220 , 1.35 ,1," 3,534 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - TX,"Rio Linda, CA 95673","Dallas, TX 75237",CA,TX,1756,2019 Alfa Romeo Stelvio,SUV,Auto Dealers Transport,8243,,36m ago,ASAP, 965 , 0.55 ,1," 4,360 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS - MS,"Madison, MS 39110","Tutwiler, MS 38963",MS,MS,124,2008 Chevrolet Silverado 1500,Pickup (4 doors),BacklotCars Inc,B911694,ACH,38m ago,ASAP, 125 , 1.01 ,1," 5,410 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - MO,"Carlinville, IL 62626","Columbia, MO 65201",IL,MO,175,2015 CHEVROLET City Express LS,Van,RCG Logistics LLC,RD23781A,30 Business Days,39m ago,ASAP, 220 , 1.26 ,1," 3,252 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - TX,"Rio Linda, CA 95673","Dallas, TX 75237",CA,TX,1756,2019 Alfa Romeo Stelvio,SUV,Auto Dealers Transport,8243,,41m ago,ASAP, 965 , 0.55 ,1," 4,360 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS - MS,"Madison, MS 39110","Tutwiler, MS 38963",MS,MS,124,2008 Chevrolet Silverado 1500,Pickup (4 doors),BacklotCars Inc,B911694,ACH,44m ago,ASAP, 125 , 1.01 ,1," 5,410 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - MO,"Carlinville, IL 62626","Columbia, MO 65201",IL,MO,175,2015 CHEVROLET City Express LS,Van,RCG Logistics LLC,RD23781A,30 Business Days,44m ago,ASAP, 220 , 1.26 ,1," 3,252 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - TX,"Mira Loma, CA 91752","Dallas, TX 75237",CA,TX,1405,2019 GMC Terrain,SUV,Auto Dealers Transport,8245,,44m ago,ASAP, 800 , 0.57 ,1," 3,841 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - CA,"Davis, CA 95618","Pleasanton, CA 94566",CA,CA,82,2001 Ford Crown victoria,Sedan,BacklotCars Inc,I562667,ACH,46m ago,7/Jan/23, 90 , 1.10 ,1," 3,946 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH - KY,"Nashua, NH 03060","Walton, KY 41094",NH,KY,916,2011 Toyota Rav4,SUV,BacklotCars Inc,W269102,ACH,47m ago,ASAP, 788 , 0.86 ,1," 3,699 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - TX,"Fresno, CA 93710","Grapevine, TX 76051",CA,TX,1542,2021 Kia Seltos,SUV,Auto Dealers Transport,8232,,47m ago,ASAP, 850 , 0.55 ,1," 3,317 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD - FL,"Easton, MD 21601","West Palm Beach, FL 33409",MD,FL,1066,2008 Honda Civic,Sedan,Car Freight Shipping INC,OPP022508D,COD,49m ago,5/Jan/23," 1,000 ", 0.94 ,1," 2,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY - FL,"Lexington, KY 40509","Lauderdale Lakes, FL 33311",KY,FL,1029,2023 GMC Sierra 1500,Pickup (4 doors),TurnTime Transport,38751,QuickPay,51m ago,ASAP, 900 , 0.87 ,1," 5,780 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO - AR,"Columbia, MO 65202","Subiaco, AR 72865",MO,AR,341,2002 Toyota Tacoma,Pickup (4 doors),BacklotCars Inc,F854253,ACH,54m ago,ASAP, 345 , 1.01 ,1," 3,705 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE - MO,"Blair, NE 68008","Sparta, MO 65753",NE,MO,409,2017 Toyota Prius,Sedan,BacklotCars Inc,W945524,ACH,54m ago,ASAP, 395 , 0.97 ,1," 3,080 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS - TN,"Madison, MS 39110","Memphis, TN 38112",MS,TN,197,2013 Ford F150,Pickup (4 doors),BacklotCars Inc,L952405,ACH,56m ago,ASAP, 205 , 1.04 ,1," 6,113 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - LA,"Arlington, TX 76018","Slidell, LA 70460",TX,LA,532,2019 Chevrolet Tahoe,SUV,M&J Automotive LLC,100437-0201 (Dealer to Auction),CKOD,57m ago,5/Jan/23, 400 , 0.75 ,1," 5,602 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR - TX,"Benton, AR 72019","Alto, TX 75925",AR,TX,282,2009 Chevrolet Silverado 1500,Pickup (4 doors),BacklotCars Inc,Y892846,ACH,58m ago,ASAP, 305 , 1.08 ,1," 5,410 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH - OH,"Amherst, OH 44001","Lancaster, OH 43130",OH,OH,155,2012 Ford Flex,SUV,BacklotCars Inc,D557806,ACH,58m ago,ASAP, 190 , 1.23 ,1," 4,643 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO - IL,"Rolla, MO 65401","Columbia, IL 62236",MO,IL,110,2011 Mazda Mazda3,Sedan,BacklotCars Inc,L506731,ACH,58m ago,ASAP, 125 , 1.14 ,1," 3,123 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA - MS,"Lagrange, GA 30241","Ripley, MS 38663",GA,MS,317,2012 Ford F150,Pickup (4 doors),BacklotCars Inc,R560707,ACH,59m ago,ASAP, 345 , 1.09 ,1," 6,210 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH - MA,"Nashua, NH 03060","Orange, MA 01364",NH,MA,70,2010 Toyota Tundra,Pickup (4 doors),BacklotCars Inc,P105550,ACH,59m ago,ASAP, 130 , 1.86 ,1," 5,660 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - TX,"Austin, TX 78719","Arlington, TX 76017",TX,TX,204,2021 Kia K5,Sedan,2020 Chevrolet Tahoe,Auto Dealers Transport,,1h ago,5/Jan/23, 330 , 1.62 ,1," 3,534 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - TN,"Peoria, IL 61614","Jackson, TN 38301",IL,TN,443,2008 Lexus Rx 350,SUV,BacklotCars Inc,O278234,ACH,1h ago,ASAP, 550 , 1.24 ,1," 4,090 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO - MO,"Rolla, MO 65401","Independence, MO 64050",MO,MO,213,2006 Subaru B9 tribeca,SUV,BacklotCars Inc,B746114,ACH,1h ago,ASAP, 240 , 1.13 ,1," 4,155 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN - AL,"Old Hickory, TN 37138","Albertville, AL 35950",TN,AL,191,2010 Hyundai ELANTRA,Sedan,2015 Nissan Altima,,ACH,1h ago,5/Jan/23, 750 , 3.93 ,1," 2,895 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI - IL,"Madison, WI 53718","Chicago, IL 60639",WI,IL,142,2012 Mercedes-benz C class,Sedan,BacklotCars Inc,W504530,ACH,1h ago,ASAP, 148 , 1.04 ,1," 3,935 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - IL,"Countryside, IL 60525","Loves Park, IL 61111",IL,IL,89,2009 Chevrolet Traverse,SUV,BacklotCars Inc,I840735,ACH,1h ago,ASAP, 128 , 1.44 ,1," 5,066 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA - CA,"North Andover, MA 01845","Aliso Viejo, CA 92656",MA,CA,3011,2021 Toyota RAV4,SUV,Nations Auto Transport LLC,SD-2127,QuickPay,1h ago,ASAP," 1,600 ", 0.53 ,1," 3,655 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH - WI,"Claremont, NH 03743","Hartford, WI 53027",NH,WI,1047,2007 Gmc Sierra 1500,Pickup (2 doors),BacklotCars Inc,O721512,ACH,1h ago,ASAP, 899 , 0.86 ,1," 5,426 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - FL,"Monterey, CA 93940","Tampa, FL 33611",CA,FL,2789,2002 Acura RSX,Sedan,Easy Auto Ship,29015436,COD,1h ago,21/Jan/23, 970 , 0.35 ,1," 2,771 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH - OH,"Tallmadge, OH 44278","Ontario, OH 44906",OH,OH,72,2003 Chrysler Pt cruiser,Sedan,BacklotCars Inc,I800128,ACH,1h ago,ASAP, 125 , 1.74 ,1," 3,108 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - LA,"Houston, TX 77090","Baton Rouge, LA 70816",TX,LA,292,2018 Dodge Grand Caravan,Van,2020 Nissan Versa,,10 Business Days,1h ago,5/Jan/23, 740 , 2.53 ,1," 4,483 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA - OH,"West Mifflin, PA 15122","Canton, OH 44706",PA,OH,123,2004 Ford F-150,Pickup (2 doors),Empire Auto Transportation Grp,FX-1419,,1h ago,5/Jan/23, 200 , 1.63 ,1," 5,875 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA - OH,"West Mifflin, PA 15122","Canton, OH 44706",PA,OH,123,2009 Dodge Ram 1500,Pickup (4 doors),Empire Auto Transportation Grp,FX-1418,,1h ago,5/Jan/23, 200 , 1.63 ,1," 5,612 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY - OH,"Florence, KY 41042","Toledo, OH 43606",KY,OH,220,2016 Chevrolet Malibu,Sedan,Travelers Auto Transport Inc,29027640,COD,1h ago,5/Jan/23, 325 , 1.48 ,1," 3,388 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN - TN,"Cleveland, TN 37311","Columbia, TN 38401",TN,TN,177,2007 Toyota Sienna,Van,BacklotCars Inc,P396073,ACH,1h ago,ASAP, 195 , 1.10 ,1," 4,545 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ - IA,"Scottsdale, AZ 85260","Epworth, IA 52045",AZ,IA,1569,2023 GMC Acadia,SUV,AZM Auto Shippers,5423,Other,1h ago,6/Jan/23," 1,200 ", 0.76 ,1," 4,525 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - CA,"Houston, TX 77090","Riverside, CA 92504",TX,CA,1518,2021 RAM TRX,Pickup (4 doors),Easy Car Shipping,201655,5 Business Days,1h ago,ASAP," 1,100 ", 0.72 ,1," 6,396 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH - FL,"Amherst, NH 03031","Miami, FL 33156",NH,FL,1541,2005 Audi S4,Sedan,Easy Auto Ship,29013288,COD,1h ago,9/Jan/23, 930 , 0.60 ,1," 4,178 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX - KS,"Denison, TX 75020","Wichita, KS 67213",TX,KS,317,2013 Chevrolet Tahoe,SUV,BacklotCars Inc,Z568791,ACH,1h ago,ASAP, 340 , 1.07 ,1," 5,694 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - CA,"Oxnard, CA 93032","Santa Monica, CA 90401",CA,CA,47,2013 Toyota RAV4,SUV,Send It Car Shippers Inc,53799cs,COD,1h ago,5/Jan/23, 150 , 3.19 ,1," 3,600 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ - WA,"Mountain Lakes, NJ 07046","Redmond, WA 98052",NJ,WA,2815,2018 Audi A5 Sportback,Sedan,Diesel Up,6536,15 Business Days,1h ago,12/Jan/23," 1,250 ", 0.44 ,1," 3,704 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE - CO,"Blair, NE 68008","Fort Lupton, CO 80621",NE,CO,534,2015 Chevrolet Tahoe,SUV,BacklotCars Inc,J906226,ACH,1h ago,ASAP, 490 , 0.92 ,1," 5,545 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME - WI,"Farmington, ME 04938","Appleton, WI 54914",ME,WI,1160,2014 Chevrolet Silverado 1500,Pickup (4 doors),BacklotCars Inc,P724777,ACH,1h ago,ASAP, 996 , 0.86 ,1," 5,292 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA - VA,"Fairburn, GA 30213","Newport News, VA 23602",GA,VA,630,2021 Kia Sorento Hybrid,SUV,Diesel Up,40124,15 Business Days,1h ago,ASAP, 400 , 0.63 ,1," 4,065 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL - MO,"Evanston, IL 60202","Rolla, MO 65401",IL,MO,413,2015 Ford Escape,SUV,BacklotCars Inc,D194671,ACH,1h ago,ASAP, 421 , 1.02 ,1," 3,645 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA - AZ,"Culver City, CA 90230","Cottonwood, AZ 86326",CA,AZ,466,2005 Cadillac Cts,Sedan,BacklotCars Inc,A985247,ACH,1h ago,ASAP, 464 , 1.00 ,1," 3,509 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY - AL,"Mechanicville, NY 12118","Opelika, AL 36804",NY,AL,1143,2013 Ford F350sd,Pickup (4 doors),BacklotCars Inc,A006572,ACH,1h ago,ASAP, 974 , 0.85 ,1," 6,924 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ - VA,"Manville, NJ 08835","Newport News, VA 23602",NJ,VA,365,2015 Honda Civic,Sedan,Diesel Up,212361,15 Business Days,1h ago,ASAP, 300 , 0.82 ,1," 3,002 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR - AZ,"Little Rock, AR 72204","Phoenix, AZ 85020",AR,AZ,1309,1982 Chevrolet C/k20,Pickup (2 doors),BacklotCars Inc,A460949,ACH,1h ago,ASAP, 987 , 0.75 ,1," 7,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN - VA,"Old Hickory, TN 37138","Newport News, VA 23602",TN,VA,675,2018 Ford Escape,SUV,Diesel Up,B50877,15 Business Days,1h ago,ASAP, 400 , 0.59 ,1," 3,755 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
